vgs	Id(M1)
2.120000000000002e-01	7.737974e-09
2.130000000000002e-01	7.944409e-09
2.140000000000002e-01	8.156251e-09
2.150000000000002e-01	8.373639e-09
2.160000000000002e-01	8.596713e-09
2.170000000000002e-01	8.825618e-09
2.180000000000002e-01	9.060503e-09
2.190000000000002e-01	9.301519e-09
2.200000000000002e-01	9.548823e-09
2.210000000000002e-01	9.802574e-09
2.220000000000002e-01	1.006294e-08
2.230000000000002e-01	1.033007e-08
2.240000000000002e-01	1.060416e-08
2.250000000000002e-01	1.088538e-08
2.260000000000002e-01	1.117390e-08
2.270000000000002e-01	1.146991e-08
2.280000000000002e-01	1.177359e-08
2.290000000000002e-01	1.208515e-08
2.300000000000002e-01	1.240478e-08
2.310000000000002e-01	1.273268e-08
2.320000000000002e-01	1.306906e-08
2.330000000000002e-01	1.341414e-08
2.340000000000002e-01	1.376813e-08
2.350000000000002e-01	1.413125e-08
2.360000000000002e-01	1.450374e-08
2.370000000000002e-01	1.488582e-08
2.380000000000002e-01	1.527774e-08
2.390000000000002e-01	1.567974e-08
2.400000000000002e-01	1.609208e-08
2.410000000000002e-01	1.651501e-08
2.420000000000002e-01	1.694879e-08
2.430000000000002e-01	1.739370e-08
2.440000000000002e-01	1.785001e-08
2.450000000000002e-01	1.831800e-08
2.460000000000002e-01	1.879797e-08
2.470000000000002e-01	1.929020e-08
2.480000000000002e-01	1.979501e-08
2.490000000000002e-01	2.031270e-08
2.500000000000002e-01	2.084360e-08
2.510000000000002e-01	2.138802e-08
2.520000000000002e-01	2.194631e-08
2.530000000000002e-01	2.251880e-08
2.540000000000002e-01	2.310583e-08
2.550000000000002e-01	2.370778e-08
2.560000000000002e-01	2.432501e-08
2.570000000000002e-01	2.495788e-08
2.580000000000002e-01	2.560679e-08
2.590000000000002e-01	2.627212e-08
2.600000000000002e-01	2.695428e-08
2.610000000000002e-01	2.765368e-08
2.620000000000002e-01	2.837074e-08
2.630000000000002e-01	2.910589e-08
2.640000000000002e-01	2.985957e-08
2.650000000000002e-01	3.063223e-08
2.660000000000002e-01	3.142434e-08
2.670000000000002e-01	3.223636e-08
2.680000000000002e-01	3.306878e-08
2.690000000000002e-01	3.392210e-08
2.700000000000002e-01	3.479681e-08
2.710000000000002e-01	3.569345e-08
2.720000000000002e-01	3.661253e-08
2.730000000000002e-01	3.755460e-08
2.740000000000002e-01	3.852022e-08
2.750000000000002e-01	3.950995e-08
2.760000000000002e-01	4.052438e-08
2.770000000000002e-01	4.156410e-08
2.780000000000002e-01	4.262971e-08
2.790000000000002e-01	4.372185e-08
2.800000000000002e-01	4.484114e-08
2.810000000000002e-01	4.598824e-08
2.820000000000002e-01	4.716382e-08
2.830000000000002e-01	4.836856e-08
2.840000000000002e-01	4.960315e-08
2.850000000000002e-01	5.086831e-08
2.860000000000002e-01	5.216477e-08
2.870000000000002e-01	5.349328e-08
2.880000000000002e-01	5.485460e-08
2.890000000000002e-01	5.624951e-08
2.900000000000002e-01	5.767882e-08
2.910000000000002e-01	5.914334e-08
2.920000000000002e-01	6.064391e-08
2.930000000000002e-01	6.218139e-08
2.940000000000002e-01	6.375665e-08
2.950000000000002e-01	6.537059e-08
2.960000000000002e-01	6.702413e-08
2.970000000000002e-01	6.871820e-08
2.980000000000002e-01	7.045377e-08
2.990000000000002e-01	7.223181e-08
3.000000000000002e-01	7.405333e-08
3.010000000000002e-01	7.591935e-08
3.020000000000002e-01	7.783093e-08
3.030000000000002e-01	7.978914e-08
3.040000000000002e-01	8.179508e-08
3.050000000000002e-01	8.384987e-08
3.060000000000002e-01	8.595466e-08
3.070000000000002e-01	8.811063e-08
3.080000000000002e-01	9.031898e-08
3.090000000000002e-01	9.258094e-08
3.100000000000002e-01	9.489777e-08
3.110000000000002e-01	9.727075e-08
3.120000000000002e-01	9.970120e-08
3.130000000000002e-01	1.021905e-07
3.140000000000002e-01	1.047399e-07
3.150000000000002e-01	1.073509e-07
3.160000000000002e-01	1.100250e-07
3.170000000000002e-01	1.127636e-07
3.180000000000002e-01	1.155682e-07
3.190000000000002e-01	1.184403e-07
3.200000000000002e-01	1.213816e-07
3.210000000000002e-01	1.243936e-07
3.220000000000002e-01	1.274779e-07
3.230000000000002e-01	1.306363e-07
3.240000000000002e-01	1.338704e-07
3.250000000000002e-01	1.371821e-07
3.260000000000002e-01	1.405731e-07
