vout	Is(M2)	Is(M4)
8.800000000000006e-02	9.999639e-06	2.004458e-05
8.900000000000007e-02	9.999639e-06	2.004457e-05
9.000000000000007e-02	9.999639e-06	2.004456e-05
9.100000000000007e-02	9.999639e-06	2.004454e-05
9.200000000000007e-02	9.999639e-06	2.004453e-05
9.300000000000007e-02	9.999639e-06	2.004452e-05
9.400000000000007e-02	9.999639e-06	2.004450e-05
9.500000000000007e-02	9.999639e-06	2.004449e-05
9.600000000000007e-02	9.999639e-06	2.004448e-05
9.700000000000007e-02	9.999639e-06	2.004446e-05
9.800000000000007e-02	9.999639e-06	2.004445e-05
9.900000000000007e-02	9.999639e-06	2.004444e-05
1.000000000000001e-01	9.999639e-06	2.004443e-05
1.010000000000001e-01	9.999639e-06	2.004441e-05
1.020000000000001e-01	9.999639e-06	2.004440e-05
1.030000000000001e-01	9.999639e-06	2.004439e-05
1.040000000000001e-01	9.999639e-06	2.004437e-05
1.050000000000001e-01	9.999639e-06	2.004436e-05
1.060000000000001e-01	9.999639e-06	2.004435e-05
1.070000000000001e-01	9.999639e-06	2.004434e-05
1.080000000000001e-01	9.999639e-06	2.004432e-05
1.090000000000001e-01	9.999639e-06	2.004431e-05
1.100000000000001e-01	9.999639e-06	2.004430e-05
1.110000000000001e-01	9.999639e-06	2.004428e-05
1.120000000000001e-01	9.999639e-06	2.004427e-05
1.130000000000001e-01	9.999639e-06	2.004426e-05
1.140000000000001e-01	9.999639e-06	2.004424e-05
1.150000000000001e-01	9.999639e-06	2.004423e-05
1.160000000000001e-01	9.999639e-06	2.004422e-05
1.170000000000001e-01	9.999639e-06	2.004420e-05
1.180000000000001e-01	9.999639e-06	2.004419e-05
1.190000000000001e-01	9.999639e-06	2.004418e-05
1.200000000000001e-01	9.999639e-06	2.004417e-05
1.210000000000001e-01	9.999639e-06	2.004415e-05
1.220000000000001e-01	9.999639e-06	2.004414e-05
1.230000000000001e-01	9.999639e-06	2.004413e-05
1.240000000000001e-01	9.999639e-06	2.004411e-05
1.250000000000001e-01	9.999639e-06	2.004410e-05
1.260000000000001e-01	9.999639e-06	2.004409e-05
