time	V(out)
1.001899003954206e-06	1.781386e+00
1.002000000000000e-06	1.781534e+00
1.002010099604579e-06	1.781552e+00
1.002030298813738e-06	1.781589e+00
1.002070697232055e-06	1.781659e+00
1.002151494068690e-06	1.781790e+00
1.002313087741960e-06	1.782018e+00
1.002636275088500e-06	1.782375e+00
1.003073736975310e-06	1.782708e+00
1.003655685807781e-06	1.782972e+00
1.004526642808973e-06	1.783183e+00
1.005526642808973e-06	1.783310e+00
1.006526642808973e-06	1.783376e+00
1.007526642808973e-06	1.783409e+00
1.008526642808973e-06	1.783419e+00
1.009526642808974e-06	1.783413e+00
1.010526642808974e-06	1.783394e+00
1.011526642808974e-06	1.783366e+00
1.012526642808974e-06	1.783329e+00
1.013526642808974e-06	1.783287e+00
1.014526642808974e-06	1.783240e+00
1.015526642808974e-06	1.783190e+00
1.016526642808974e-06	1.783137e+00
1.018526642808974e-06	1.783025e+00
1.021526642808974e-06	1.782848e+00
1.024383785666118e-06	1.782671e+00
1.027240928523261e-06	1.782489e+00
1.030098071380404e-06	1.782303e+00
1.032955214237547e-06	1.782111e+00
1.035812357094690e-06	1.781914e+00
1.038669499951833e-06	1.781712e+00
1.041526642808976e-06	1.781505e+00
1.048383785666119e-06	1.780998e+00
1.055240928523263e-06	1.780442e+00
1.062098071380406e-06	1.779838e+00
1.068955214237549e-06	1.779185e+00
1.075812357094693e-06	1.778484e+00
1.082669499951836e-06	1.777735e+00
1.089526642808980e-06	1.776937e+00
1.094383785666123e-06	1.776331e+00
1.099240928523266e-06	1.775673e+00
1.104098071380409e-06	1.774964e+00
1.108955214237552e-06	1.774204e+00
1.113812357094696e-06	1.773391e+00
1.118669499951839e-06	1.772528e+00
1.123526642808982e-06	1.771613e+00
1.127240928523268e-06	1.770867e+00
1.130955214237554e-06	1.770061e+00
1.134669499951840e-06	1.769193e+00
1.138383785666126e-06	1.768264e+00
1.142098071380412e-06	1.767275e+00
1.145812357094698e-06	1.766224e+00
1.149526642808984e-06	1.765113e+00
1.152383785666127e-06	1.764203e+00
1.155240928523270e-06	1.763222e+00
1.158098071380413e-06	1.762169e+00
1.160955214237556e-06	1.761045e+00
1.163812357094699e-06	1.759848e+00
1.166669499951842e-06	1.758580e+00
1.169526642808986e-06	1.757241e+00
1.171812357094700e-06	1.756103e+00
1.174098071380415e-06	1.754875e+00
1.176383785666129e-06	1.753557e+00
1.178669499951843e-06	1.752150e+00
1.180955214237558e-06	1.750652e+00
1.183240928523272e-06	1.749065e+00
1.185526642808987e-06	1.747387e+00
1.188526642808987e-06	1.744962e+00
1.191526642808987e-06	1.742285e+00
1.194526642808987e-06	1.739316e+00
1.197526642808988e-06	1.736003e+00
1.200526642808988e-06	1.732283e+00
1.202526642808988e-06	1.729539e+00
1.204526642808988e-06	1.726549e+00
1.206526642808988e-06	1.723280e+00
1.208526642808988e-06	1.719689e+00
1.210526642808989e-06	1.715725e+00
1.212526642808989e-06	1.711326e+00
1.214526642808989e-06	1.706418e+00
1.215526642808989e-06	1.703743e+00
1.216526642808989e-06	1.700905e+00
1.217526642808989e-06	1.697888e+00
1.218526642808989e-06	1.694676e+00
1.219526642808989e-06	1.691252e+00
1.220526642808989e-06	1.687595e+00
1.221526642808989e-06	1.683686e+00
1.222526642808990e-06	1.679504e+00
1.224526642808990e-06	1.670231e+00
1.226526642808990e-06	1.659611e+00
1.227526642808990e-06	1.653749e+00
1.228526642808990e-06	1.647502e+00
1.229526642808990e-06	1.640869e+00
1.230526642808990e-06	1.633851e+00
1.231526642808990e-06	1.626448e+00
1.232526642808990e-06	1.618660e+00
1.233526642808990e-06	1.610487e+00
1.236526642808991e-06	1.583932e+00
1.239526642808991e-06	1.554612e+00
1.242526642808991e-06	1.522964e+00
1.245240928523277e-06	1.492259e+00
1.247955214237563e-06	1.460619e+00
1.250669499951849e-06	1.428042e+00
1.253383785666135e-06	1.394530e+00
1.256098071380421e-06	1.360082e+00
1.258812357094706e-06	1.324698e+00
1.261526642808992e-06	1.288379e+00
1.266812357094707e-06	1.216178e+00
1.272098071380422e-06	1.143056e+00
1.277383785666137e-06	1.069013e+00
1.282669499951851e-06	9.940491e-01
1.287955214237566e-06	9.181641e-01
1.293240928523281e-06	8.413580e-01
1.298526642808995e-06	7.636308e-01
1.302955214237567e-06	6.984854e-01
1.307383785666139e-06	6.332562e-01
1.311812357094710e-06	5.679433e-01
1.316240928523282e-06	5.025465e-01
1.320669499951854e-06	4.370660e-01
1.325098071380426e-06	3.715017e-01
1.329526642808998e-06	3.058537e-01
1.330669499951855e-06	2.889460e-01
1.331812357094712e-06	2.721206e-01
1.332955214237569e-06	2.553774e-01
1.334098071380427e-06	2.387164e-01
1.335240928523284e-06	2.221376e-01
1.336383785666141e-06	2.056411e-01
1.337526642808998e-06	1.892268e-01
1.338526642808998e-06	1.751369e-01
1.339526642808998e-06	1.613138e-01
1.340526642808998e-06	1.478558e-01
1.341526642808998e-06	1.348825e-01
1.342526642808999e-06	1.225257e-01
1.343526642808999e-06	1.109129e-01
1.344526642808999e-06	1.001487e-01
1.345526642808999e-06	9.030060e-02
1.346526642808999e-06	8.139354e-02
1.347526642808999e-06	7.341258e-02
1.348526642808999e-06	6.631160e-02
1.349526642808999e-06	6.002378e-02
1.350526642808999e-06	5.447149e-02
1.351526642808999e-06	4.957406e-02
1.352526642808999e-06	4.525305e-02
1.353526642808999e-06	4.143539e-02
1.354526642808999e-06	3.805520e-02
1.355526642809000e-06	3.505440e-02
1.356526642809000e-06	3.238245e-02
1.357526642809000e-06	2.999580e-02
1.358526642809000e-06	2.785732e-02
1.359526642809000e-06	2.593540e-02
1.360526642809000e-06	2.420327e-02
1.361526642809000e-06	2.263822e-02
1.362526642809000e-06	2.122105e-02
1.363526642809000e-06	1.993547e-02
1.364526642809000e-06	1.876763e-02
1.365526642809000e-06	1.770573e-02
1.366526642809000e-06	1.673966e-02
1.367526642809000e-06	1.586071e-02
1.368526642809001e-06	1.506134e-02
1.369526642809001e-06	1.433496e-02
1.370526642809001e-06	1.367573e-02
1.371526642809001e-06	1.307846e-02
1.372526642809001e-06	1.253844e-02
1.373526642809001e-06	1.205136e-02
1.374526642809001e-06	1.161320e-02
1.375526642809001e-06	1.122016e-02
1.376526642809001e-06	1.086865e-02
1.377526642809001e-06	1.055517e-02
1.378526642809001e-06	1.027637e-02
1.379526642809001e-06	1.002897e-02
1.380526642809001e-06	9.809812e-03
1.381526642809001e-06	9.615816e-03
1.382526642809002e-06	9.444010e-03
1.383526642809002e-06	9.291529e-03
1.384526642809002e-06	9.155607e-03
1.385526642809002e-06	9.033580e-03
1.386526642809002e-06	8.922875e-03
1.387526642809002e-06	8.820998e-03
