VSB,UTH
452,1.0332	
453,1.03444	
454,1.03568	
455,1.03692	
456,1.03815	
457,1.03939	
458,1.04063	
459,1.04187	
460,1.04311	
461,1.04435	
462,1.04559	
463,1.04683	
464,1.04807	
465,1.0493	
466,1.05054	
467,1.05178	
468,1.05302	
469,1.05426	
470,1.05549	
471,1.05673	
472,1.05797	
473,1.05921	
474,1.06045	
475,1.06168	
476,1.06292	
477,1.06416	
478,1.0654	
479,1.06663	
480,1.06787	
481,1.06911	
482,1.07035	
483,1.07158	
484,1.07282	
485,1.07406	
486,1.07529	
487,1.07653	
488,1.07777	
489,1.07901	
490,1.08024	
491,1.08148	
492,1.08271	
493,1.08395	
494,1.08519	
495,1.08642	
496,1.08766	
497,1.0889	
498,1.09013	
499,1.09137	
500,1.0926	
501,1.09384	
502,1.09508	
503,1.09631	
504,1.09755	
505,1.09878	
506,1.10002	
507,1.10125	
508,1.10249	
509,1.10372	
510,1.10496	
511,1.10619	
512,1.10743	
513,1.10866	
514,1.1099	
515,1.11113	
516,1.11237	
517,1.1136	
518,1.11484	
519,1.11607	
520,1.11731	
521,1.11854	
522,1.11978	
523,1.12101	
524,1.12224	
525,1.12348	
526,1.12471	
527,1.12595	
528,1.12718	
529,1.12841	
530,1.12965	
531,1.13088	
532,1.13212	
533,1.13335	
534,1.13458	
535,1.13582	
536,1.13705	
537,1.13828	
538,1.13952	
539,1.14075	
540,1.14199	
541,1.14322	
542,1.14445	
543,1.14568	
544,1.14692	
545,1.14815	
546,1.14938	
547,1.15061	
548,1.15185	
549,1.15308	
550,1.15431	
551,1.15554	
552,1.15678	
553,1.15801	
554,1.15924	
555,1.16047	
556,1.16171	
557,1.16294	
558,1.16417	
559,1.1654	
560,1.16663	
561,1.16787	
562,1.1691	
563,1.17033	
564,1.17156	
565,1.17279	
566,1.17403	
567,1.17526	
568,1.17649	
569,1.17772	
570,1.17895	
571,1.18018	
572,1.18141	
573,1.18264	
574,1.18387	
575,1.18511	
576,1.18634	
577,1.18757	
578,1.1888	
579,1.19003	
580,1.19126	
581,1.19249	
582,1.19372	
583,1.19495	
584,1.19618	
585,1.19741	
586,1.19864	
587,1.19987	
588,1.2011	
589,1.20233	
590,1.20356	
591,1.20479	
592,1.20602	
593,1.20725	
594,1.20848	
595,1.20971	
596,1.21094	
597,1.21217	
598,1.2134	
599,1.21463	
600,1.21586	
601,1.21709	
602,1.21832	
603,1.21955	
604,1.22078	
605,1.22201	
606,1.22324	
607,1.22446	
608,1.22569	
609,1.22692	
610,1.22815	
611,1.22938	
612,1.23061	
613,1.23184	
614,1.23307	
615,1.2343	
616,1.23552	
617,1.23675	
618,1.23798	
619,1.23921	
620,1.24044	
621,1.24167	
622,1.2429	
623,1.24412	
624,1.24535	
625,1.24658	
626,1.24781	
627,1.24904	
628,1.25026	
629,1.25149	
630,1.25272	
631,1.25395	
632,1.25518	
633,1.2564	
634,1.25763	
635,1.25886	
636,1.26009	
637,1.26132	
638,1.26254	
639,1.26377	
640,1.265	
641,1.26623	
642,1.26745	
643,1.26868	
644,1.26991	
645,1.27114	
646,1.27236	
647,1.27359	
648,1.27482	
649,1.27605	
650,1.27727	
651,1.2785	
652,1.27973	
653,1.28095	
654,1.28218	
655,1.28341	
656,1.28463	
657,1.28586	
658,1.28709	
659,1.28831	
660,1.28954	
661,1.29077	
662,1.292	
663,1.29322	
664,1.29445	
665,1.29567	
666,1.2969	
667,1.29813	
668,1.29935	
669,1.30058	
670,1.30181	
671,1.30304	
672,1.30426	
673,1.30549	
674,1.30671	
675,1.30794	
676,1.30917	
677,1.31039	
678,1.31162	
679,1.31285	
680,1.31407	
681,1.3153	
682,1.31652	
683,1.31775	
684,1.31898	
685,1.3202	
686,1.32143	
687,1.32266	
688,1.32388	
689,1.32511	
690,1.32633	
691,1.32756	
692,1.32879	
693,1.33002	
694,1.33124	
695,1.33247	
696,1.33369	
697,1.33492	
698,1.33615	
699,1.33737	
700,1.3386	
701,1.33982	
702,1.34105	
703,1.34228	
704,1.3435	
705,1.34473	
706,1.34596	
707,1.34718	
708,1.34841	
709,1.34964	
710,1.35086	
711,1.35209	
712,1.35332	
713,1.35454	
714,1.35577	
715,1.357	
716,1.35822	
717,1.35945	
718,1.36068	
719,1.3619	
720,1.36313	
721,1.36436	
722,1.36558	
723,1.36681	
724,1.36804	
725,1.36927	
726,1.37049	
727,1.37172	
728,1.37295	
729,1.37418	
730,1.37541	
731,1.37663	
732,1.37786	
733,1.37909	
734,1.38032	
735,1.38155	
736,1.38278	
737,1.38401	
738,1.38523	
739,1.38646	
740,1.38769	
741,1.38892	
742,1.39015	
743,1.39138	
744,1.39261	
745,1.39384	
746,1.39507	
747,1.3963	
748,1.39753	
749,1.39877	
750,1.4	
751,1.40123	
752,1.40246	
753,1.40369	
754,1.40493	
755,1.40616	
756,1.40739	
757,1.40863	
758,1.40986	
759,1.4111	
760,1.41233	
761,1.41357	
762,1.4148	
763,1.41604	
764,1.41727	
765,1.41851	
766,1.41975	
767,1.42099	
768,1.42223	
769,1.42346	
770,1.4247	
771,1.42595	
772,1.42719	
773,1.42843	
774,1.42967	
775,1.43091	
776,1.43216	
777,1.4334	
778,1.43465	
779,1.43589	
780,1.43714	
781,1.43839	
782,1.43964	
783,1.44089	
784,1.44214	
785,1.4434	
786,1.44465	
787,1.44591	
788,1.44716	
789,1.44842	
790,1.44968	
791,1.45094	
792,1.45221	
793,1.45347	
794,1.45474	
795,1.45601	
796,1.45728	
797,1.45855	
798,1.45982	
799,1.4611	
