VSB,UTH
661,1.38195
662,1.38321
663,1.38447
664,1.38573
665,1.38699
666,1.38825
667,1.3895
668,1.39076
669,1.39202
670,1.39328
671,1.39454
672,1.3958
673,1.39706
674,1.39832
675,1.39958
676,1.40084
677,1.4021
678,1.40335
679,1.40461
680,1.40588
681,1.40714
682,1.4084
683,1.40966
684,1.41092
685,1.41218
686,1.41344
687,1.4147
688,1.41596
689,1.41722
690,1.41848
691,1.41975
692,1.42101
693,1.42227
694,1.42353
695,1.4248
696,1.42606
697,1.42732
698,1.42859
699,1.42985
700,1.43112
701,1.43238
702,1.43365
703,1.43491
704,1.43618
705,1.43744
706,1.43871
707,1.43998
708,1.44125
709,1.44251
710,1.44378
711,1.44505
712,1.44632
713,1.44759
714,1.44886
715,1.45013
716,1.4514
717,1.45267
718,1.45395
719,1.45522
720,1.45649
721,1.45777
722,1.45905
723,1.46032
724,1.4616
725,1.46288
726,1.46416
727,1.46543
728,1.46672
729,1.468
730,1.46928
731,1.47056
732,1.47185
733,1.47313
734,1.47442
735,1.47571
736,1.477
737,1.47829
738,1.47958
739,1.48087
740,1.48217
741,1.48346
742,1.48476
743,1.48606
744,1.48736
745,1.48867
746,1.48997
747,1.49128
748,1.49259
749,1.4939
750,1.49521
751,1.49653
752,1.49785
753,1.49917
754,1.50049
755,1.50182
756,1.50314
757,1.50447
758,1.50581
759,1.50715
760,1.50849
761,1.50983
762,1.51118
763,1.51253
764,1.51389
765,1.51525
766,1.51661
767,1.51798
768,1.51935
769,1.52072
770,1.52211
771,1.52349
772,1.52488
773,1.52628
774,1.52768
775,1.52909
776,1.53051
777,1.53193
778,1.53336
779,1.53479
780,1.53623
781,1.53768
782,1.53914
783,1.5406
784,1.54207
785,1.54355
786,1.54505
787,1.54654
788,1.54805
789,1.54957
790,1.5511
791,1.55264
792,1.55419
793,1.55575
794,1.55732
795,1.55891
796,1.5605
797,1.56212
798,1.56374
799,1.56538
800,1.56703
801,1.5687
802,1.57038
803,1.57208
804,1.5738
805,1.57553
806,1.57728
807,1.57905
808,1.58084
809,1.58265
810,1.58448
811,1.58633
812,1.58821
813,1.5901
814,1.59203
815,1.59397
816,1.59594
817,1.59794
818,1.59997
819,1.60202
820,1.6041
821,1.60622
822,1.60837
823,1.61055
824,1.61276
825,1.61501
826,1.6173
827,1.61963
828,1.622
829,1.62442
830,1.62687
831,1.62938
832,1.63193
