Freq.	V(out)
4.89778819368445e+00	(7.83567390423704e+01dB,-1.64664769935493e-01°)
5.01187233627271e+00	(7.83567373493719e+01dB,-1.68507379188341e-01°)
5.12861383991364e+00	(7.83567355765854e+01dB,-1.72439331218257e-01°)
5.24807460249771e+00	(7.83567337202508e+01dB,-1.76462710650505e-01°)
5.37031796370252e+00	(7.83567317764305e+01dB,-1.80579650575805e-01°)
5.49540873857623e+00	(7.83567297410016e+01dB,-1.84792333680565e-01°)
5.62341325190348e+00	(7.83567276096468e+01dB,-1.89102993403363e-01°)
5.75439937337156e+00	(7.83567253778454e+01dB,-1.93513915118276e-01°)
5.88843655355588e+00	(7.83567230408636e+01dB,-1.98027437345688e-01°)
6.02559586074356e+00	(7.83567205937444e+01dB,-2.02645952991207e-01°)
6.16595001861481e+00	(7.83567180312975e+01dB,-2.07371910613349e-01°)
6.30957344480192e+00	(7.83567153480877e+01dB,-2.12207815720651e-01°)
6.45654229034654e+00	(7.83567125384238e+01dB,-2.17156232098901e-01°)
6.60693448007594e+00	(7.83567095963464e+01dB,-2.22219783169175e-01°)
6.76082975391980e+00	(7.83567065156152e+01dB,-2.27401153377407e-01°)
6.91830970918935e+00	(7.83567032896959e+01dB,-2.32703089616203e-01°)
7.07945784384136e+00	(7.83566999117462e+01dB,-2.38128402679675e-01°)
7.24435960074988e+00	(7.83566963746014e+01dB,-2.43679968752018e-01°)
7.41310241300916e+00	(7.83566926707591e+01dB,-2.49360730930655e-01°)
7.58577575029182e+00	(7.83566887923635e+01dB,-2.55173700784716e-01°)
7.76247116628690e+00	(7.83566847311883e+01dB,-2.61121959949681e-01°)
7.94328234724279e+00	(7.83566804786199e+01dB,-2.67208661759021e-01°)
8.12830516164097e+00	(7.83566760256385e+01dB,-2.73437032913698e-01°)
8.31763771102669e+00	(7.83566713627994e+01dB,-2.79810375190376e-01°)
8.51138038202374e+00	(7.83566664802128e+01dB,-2.86332067189268e-01°)
8.70963589956078e+00	(7.83566613675227e+01dB,-2.93005566122499e-01°)
8.91250938133743e+00	(7.83566560138855e+01dB,-2.99834409643947e-01°)
9.12010839355907e+00	(7.83566504079461e+01dB,-3.06822217721500e-01°)
9.33254300796988e+00	(7.83566445378147e+01dB,-3.13972694552708e-01°)
9.54992586021433e+00	(7.83566383910410e+01dB,-3.21289630524833e-01°)
9.77237220955808e+00	(7.83566319545880e+01dB,-3.28776904220315e-01°)
9.99999999999997e+00	(7.83566252148045e+01dB,-3.36438484468697e-01°)
