vgs	Is(M2)
1.390000000000001e-01	4.314679e-10
1.400000000000001e-01	4.427747e-10
1.410000000000001e-01	4.543750e-10
1.420000000000001e-01	4.662764e-10
1.430000000000001e-01	4.784864e-10
1.440000000000001e-01	4.910131e-10
1.450000000000001e-01	5.038645e-10
1.460000000000001e-01	5.170489e-10
1.470000000000001e-01	5.305749e-10
1.480000000000001e-01	5.444510e-10
1.490000000000001e-01	5.586863e-10
1.500000000000001e-01	5.732899e-10
1.510000000000001e-01	5.882713e-10
1.520000000000001e-01	6.036399e-10
1.530000000000001e-01	6.194057e-10
1.540000000000001e-01	6.355788e-10
1.550000000000001e-01	6.521694e-10
1.560000000000001e-01	6.691884e-10
1.570000000000001e-01	6.866464e-10
1.580000000000001e-01	7.045546e-10
1.590000000000001e-01	7.229246e-10
1.600000000000001e-01	7.417679e-10
1.610000000000001e-01	7.610965e-10
1.620000000000001e-01	7.809228e-10
1.630000000000001e-01	8.012593e-10
1.640000000000001e-01	8.221189e-10
1.650000000000001e-01	8.435149e-10
1.660000000000001e-01	8.654608e-10
1.670000000000001e-01	8.879704e-10
1.680000000000001e-01	9.110580e-10
1.690000000000001e-01	9.347381e-10
1.700000000000001e-01	9.590256e-10
1.710000000000001e-01	9.839359e-10
1.720000000000001e-01	1.009485e-09
1.730000000000001e-01	1.035688e-09
1.740000000000001e-01	1.062562e-09
1.750000000000001e-01	1.090124e-09
1.760000000000001e-01	1.118390e-09
1.770000000000001e-01	1.147380e-09
1.780000000000001e-01	1.177110e-09
1.790000000000001e-01	1.207599e-09
1.800000000000001e-01	1.238867e-09
1.810000000000001e-01	1.270932e-09
1.820000000000001e-01	1.303816e-09
1.830000000000001e-01	1.337537e-09
1.840000000000001e-01	1.372117e-09
1.850000000000001e-01	1.407577e-09
1.860000000000001e-01	1.443939e-09
1.870000000000001e-01	1.481227e-09
1.880000000000001e-01	1.519462e-09
1.890000000000001e-01	1.558668e-09
1.900000000000001e-01	1.598869e-09
1.910000000000001e-01	1.640091e-09
1.920000000000001e-01	1.682357e-09
1.930000000000001e-01	1.725695e-09
1.940000000000001e-01	1.770131e-09
1.950000000000001e-01	1.815691e-09
1.960000000000001e-01	1.862405e-09
1.970000000000001e-01	1.910299e-09
1.980000000000001e-01	1.959403e-09
1.990000000000001e-01	2.009747e-09
2.000000000000001e-01	2.061362e-09
2.010000000000002e-01	2.114279e-09
2.020000000000002e-01	2.168529e-09
